iter	Passed	Remaining
0	146	146241
1	151	75766
2	157	52322
3	163	40635
4	168	33550
5	176	29204
6	183	25961
7	189	23494
8	197	21713
9	204	20224
10	210	18898
11	214	17685
12	219	16648
13	223	15764
14	229	15072
15	234	14408
16	239	13822
17	243	13292
18	248	12819
19	253	12398
20	257	12011
21	262	11654
22	266	11330
23	271	11036
24	275	10762
25	280	10507
26	285	10279
27	289	10058
28	294	9852
29	298	9662
30	303	9485
31	307	9313
32	312	9157
33	317	9010
34	320	8840
35	325	8709
36	329	8585
37	334	8471
38	339	8359
39	343	8249
40	350	8193
41	356	8122
42	361	8047
43	367	7995
44	374	7941
45	379	7877
46	384	7794
47	388	7713
48	394	7657
49	399	7582
50	403	7512
51	408	7443
52	410	7336
53	415	7275
54	420	7230
55	426	7188
56	431	7131
57	435	7075
58	440	7019
59	444	6966
60	449	6915
61	453	6867
62	458	6820
63	463	6774
64	467	6728
65	472	6684
66	476	6641
67	481	6600
68	486	6557
69	490	6516
70	494	6476
71	499	6437
72	503	6398
73	508	6367
74	513	6333
75	518	6298
76	522	6266
77	529	6254
78	534	6235
79	540	6219
80	544	6174
81	547	6133
82	553	6118
83	559	6103
84	564	6075
85	569	6048
86	573	6020
87	578	5992
88	583	5976
89	588	5950
90	592	5923
91	597	5900
92	602	5875
93	607	5852
94	611	5826
95	616	5802
96	620	5778
97	625	5755
98	629	5733
99	634	5710
100	638	5686
101	643	5665
102	648	5643
103	652	5621
104	656	5599
105	661	5578
106	665	5556
107	670	5540
108	678	5547
109	683	5532
110	688	5513
111	692	5493
112	695	5457
113	699	5439
114	706	5434
115	711	5423
116	717	5412
117	722	5403
118	730	5410
119	739	5419
120	744	5410
121	751	5405
122	757	5399
123	763	5390
124	768	5378
125	774	5372
126	779	5356
127	783	5340
128	788	5324
129	795	5321
130	802	5320
131	806	5305
132	813	5302
133	821	5307
134	831	5325
135	838	5328
136	846	5334
137	854	5339
138	867	5374
139	879	5401
140	895	5454
141	906	5474
142	918	5505
143	928	5518
144	941	5553
145	951	5563
146	956	5550
147	962	5541
148	968	5529
149	971	5505
150	977	5494
151	982	5484
152	988	5473
153	994	5465
154	1000	5455
155	1005	5440
156	1010	5424
157	1014	5407
158	1019	5391
159	1023	5374
160	1028	5358
161	1032	5343
162	1037	5327
163	1041	5311
164	1046	5295
165	1050	5280
166	1055	5264
167	1062	5259
168	1067	5249
169	1073	5239
170	1079	5231
171	1085	5224
172	1092	5221
173	1097	5211
174	1104	5205
175	1108	5191
176	1113	5176
177	1117	5161
178	1122	5147
179	1127	5134
180	1131	5120
181	1136	5106
182	1140	5093
183	1145	5078
184	1150	5066
185	1154	5053
186	1159	5039
187	1163	5026
188	1168	5013
189	1173	5000
190	1177	4987
191	1182	4974
192	1186	4962
193	1191	4949
194	1195	4936
195	1200	4925
196	1205	4913
197	1209	4901
198	1214	4888
199	1219	4876
200	1223	4864
201	1228	4852
202	1232	4840
203	1239	4834
204	1245	4828
205	1251	4822
206	1256	4814
207	1262	4806
208	1267	4795
209	1271	4784
210	1276	4772
211	1280	4761
212	1285	4750
213	1290	4740
214	1295	4729
215	1299	4718
216	1305	4709
217	1310	4702
218	1315	4690
219	1319	4679
220	1324	4668
221	1328	4657
222	1333	4646
223	1338	4635
224	1342	4624
225	1347	4613
226	1351	4603
227	1356	4592
228	1360	4582
229	1365	4571
230	1370	4561
231	1374	4551
232	1379	4540
233	1384	4531
234	1388	4521
235	1393	4511
236	1398	4501
237	1402	4491
238	1407	4481
239	1414	4478
240	1419	4472
241	1426	4467
242	1433	4466
243	1438	4458
244	1443	4448
245	1448	4439
246	1453	4430
247	1459	4424
248	1464	4416
249	1468	4406
250	1473	4398
251	1478	4388
252	1483	4380
253	1488	4372
254	1493	4362
255	1497	4352
256	1502	4344
257	1507	4336
258	1512	4328
259	1517	4319
260	1522	4309
261	1527	4301
262	1531	4292
263	1536	4283
264	1541	4275
265	1546	4267
266	1551	4258
267	1556	4251
268	1563	4248
269	1572	4250
270	1577	4243
271	1582	4236
272	1587	4226
273	1593	4222
274	1598	4213
